class_name,image_count,valid_count,invalid_count,percentage,min_width,min_height,max_width,max_height
battery,945,945,0,6.09,140,110,456,306
biological,985,985,0,6.35,156,112,450,324
brown-glass,607,607,0,3.91,125,120,512,400
cardboard,891,891,0,5.74,160,126,512,384
clothes,5325,5325,0,34.32,400,400,888,936
green-glass,629,629,0,4.05,110,142,512,400
metal,769,769,0,4.96,150,106,512,384
paper,1050,1050,0,6.77,159,100,512,384
plastic,865,865,0,5.58,140,146,512,384
shoes,1977,1977,0,12.74,153,119,790,867
trash,697,697,0,4.49,51,132,381,400
white-glass,775,775,0,5.0,114,133,512,400
